"Camera","Start","End","Latitude","Longitude","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to"
"A03","4/2/16","12/19/19",39.0347,-123.10165,"6/4/18","8/3/18",NA,NA,NA,NA
"A13","4/13/16","12/18/19",39.00059,-123.10008,NA,NA,NA,NA,NA,NA
"B02","5/6/16","12/9/19",39.03789,-123.09434,"8/16/16","11/5/16","7/27/18","8/3/18",NA,NA
"B04","5/6/16","12/9/19",39.03127,-123.09418,NA,NA,NA,NA,NA,NA
"B06","5/5/16","12/9/19",39.02517,-123.09378,"7/27/18","8/3/18",NA,NA,NA,NA
"B08","3/23/16","12/9/19",39.0181,-123.0933,NA,NA,NA,NA,NA,NA
"B10","3/23/16","12/9/19",39.01139,-123.09276,NA,NA,NA,NA,NA,NA
"B12","4/13/16","12/20/19",39.0043,-123.09306,NA,NA,NA,NA,NA,NA
"B14","4/13/16","11/13/19",38.99797,-123.09263,NA,NA,NA,NA,NA,NA
"C03","4/3/16","12/17/19",39.03551,-123.08639,"3/15/19","3/28/19",NA,NA,NA,NA
"C05","5/11/16","12/17/19",39.02836,-123.08619,"6/11/18","8/7/18","8/15/18","12/19/18",NA,NA
"C07","4/8/16","12/27/19",39.02201,-123.08588,"8/6/17","10/16/17","5/31/18","8/6/18",NA,NA
"C09","3/23/16","12/27/19",39.01465,-123.08611,NA,NA,NA,NA,NA,NA
"C11","4/2/16","12/10/19",39.0082,-123.08518,"7/20/16","12/3/16","6/8/18","8/2/18",NA,NA
"C15","5/19/16","12/18/19",38.99488,-123.08437,NA,NA,NA,NA,NA,NA
"C17","5/19/16","12/18/19",38.98819,-123.08453,NA,NA,NA,NA,NA,NA
"D04","3/22/16","12/11/19",39.032,-123.07932,NA,NA,NA,NA,NA,NA
"D06","5/11/16","12/17/19",39.02524,-123.0786,"7/27/18","8/1/18","5/2/19","6/26/19",NA,NA
"D08","5/21/16","12/17/19",39.01839,-123.07802,"6/27/16","12/22/16","4/26/19","6/25/19",NA,NA
"D10","5/17/16","12/17/19",39.01199,-123.07796,"7/20/16","12/22/16","7/27/18","12/13/18","4/26/19","6/21/19"
"D12","4/2/16","12/10/19",39.00478,-123.07772,NA,NA,NA,NA,NA,NA
"D14","5/19/16","12/18/19",38.99776,-123.07731,NA,NA,NA,NA,NA,NA
"D16","6/7/16","12/27/19",38.99145,-123.07739,NA,NA,NA,NA,NA,NA
"E05","4/3/16","12/10/19",39.02881,-123.07079,NA,NA,NA,NA,NA,NA
"E07","5/13/16","12/17/19",39.0221,-123.0712,NA,NA,NA,NA,NA,NA
"E09","3/23/16","12/10/19",39.0153,-123.0707,NA,NA,NA,NA,NA,NA
"E11","5/19/16","12/19/19",39.00868,-123.07081,NA,NA,NA,NA,NA,NA
"E13","4/2/16","12/18/19",39.00151,-123.07004,NA,NA,NA,NA,NA,NA
"E15","4/9/16","12/18/19",38.99478,-123.06953,NA,NA,NA,NA,NA,NA
"E17","5/1/16","12/18/19",38.98867,-123.06975,"6/7/18","6/12/18",NA,NA,NA,NA
"F04","7/25/16","12/10/19",39.03244,-123.06379,"6/1/18","8/6/18",NA,NA,NA,NA
"F06","4/3/16","12/10/19",39.02548,-123.06373,"7/27/18","8/6/18",NA,NA,NA,NA
"F08","3/23/16","12/10/19",39.01849,-123.06368,"11/28/18","1/9/19",NA,NA,NA,NA
"F10","4/3/16","12/20/19",39.01194,-123.063,"7/27/18","8/6/18",NA,NA,NA,NA
"G09","5/13/16","12/20/19",39.01552,-123.05519,"7/27/18","8/8/18",NA,NA,NA,NA
"G11","5/12/16","12/20/19",39.009,-123.05591,NA,NA,NA,NA,NA,NA
