Time,Count,Season
april.2016,3,Spring
may.2016,5,Spring
june.2016,1,Summer
july.2016,8,Summer
august.2016,5,Summer
september.2016,7,Fall
october.2016,7,Fall
november.2016,15,Fall
december.2016,16,Winter
january.2017,15,Winter
february.2017,12,Winter
march.2017,10,Spring
april.2017,2,Spring
may.2017,6,Spring
june.2017,5,Summer
july.2017,1,Summer
august.2017,3,Summer
september.2017,6,Fall
october.2017,15,Fall
november.2017,19,Fall
december.2017,22,Winter
january.2018,14,Winter
february.2018,16,Winter
march.2018,16,Spring
april.2018,12,Spring
may.2018,6,Spring
june.2018,7,Summer
july.2018,5,Summer
august.2018,14,Summer
september.2018,19,Fall
october.2018,21,Fall
november.2018,15,Fall
december.2018,16,Winter
january.2019,19,Winter
february.2019,15,Winter
march.2019,22,Spring
april.2019,31,Spring
may.2019,15,Spring
june.2019,8,Summer
july.2019,3,Summer
august.2019,2,Summer
september.2019,7,Fall
october.2019,5,Fall
november.2019,5,Fall
december.2019,22,Winter
january.2020,15,Winter
february.2020,11,Winter
march.2020,13,Spring
april.2020,7,Spring
may.2020,15,Spring
june.2020,6,Summer
july.2020,6,Summer
august.2020,6,Summer
september.2020,5,Fall
october.2020,10,Fall
november.2020,18,Fall
december.2020,15,Winter
january.2021,19,Winter
february.2021,34,Winter
march.2021,20,Spring
